4D-CT Data Output File,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,
99.7751,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax
,0,0,53.0203,33.0645,37.422,0,0,0,25.5105,0,25.5105,52.9688,20.158,-7.18E-07,78.867,45.7579,37.5
,0,1,52.9245,33.514,37.1687,1,0,1,25.5105,1,25.6889,52.9678,20.4522,-7.18E-07,78.8676,46.0553,37.5
,0,2,52.7453,34.0686,36.9382,2,0,2,25.5105,2,25.8602,52.6769,21.0367,-1.52E-07,78.8692,46.641,37.5
,0,3,52.8569,34.7282,36.7468,3,0,3,25.5105,3,26.2711,52.9685,21.6215,7.66E-08,78.8674,47.5182,37.5
,0,4,52.8599,34.986,36.4609,4,0,4,25.5105,4,26.5646,52.6782,21.9134,6.32E-07,78.8672,48.1055,37.5
,0,5,52.7933,35.6744,36.2787,5,0,5,25.5105,5,26.6496,52.6792,22.4987,6.32E-07,78.8669,48.6919,37.5
,0,6,52.6305,35.8385,36.4576,6,0,6,25.5105,6,26.7787,52.6771,22.7939,-2.39E-07,78.8668,49.28,37.5
,0,7,52.5624,36.2276,36.4693,7,0,7,25.5105,7,26.9539,52.6748,23.3781,-1.27E-07,78.868,50.451,37.5
,0,8,52.6167,36.9484,36.3218,8,0,8,25.5105,8,27.0733,52.6799,23.6741,-7.19E-07,78.8666,51.0389,37.5
,0,9,52.5193,37.2183,36.0587,9,0,9,25.5105,9,27.0799,52.6798,23.9646,5.65E-09,78.8684,51.6251,37.5
,0,10,52.3918,37.4482,35.9,10,0,10,25.5105,10,26.978,52.6792,24.5422,3.52E-07,78.8676,52.2108,37.5
,0,11,52.3475,38.3775,36.0486,11,0,11,25.5105,11,27.0955,52.6839,25.128,-6.50E-07,78.8696,53.0912,37.5
,0,12,52.2822,38.3485,35.6347,12,0,12,25.5105,12,27.0296,52.6736,25.423,1.08E-08,78.8668,53.975,37.5
,0,13,52.1482,38.6048,35.9184,13,0,13,25.5105,13,27.061,52.6815,25.719,6.02E-07,78.8679,54.5581,37.5
,0,14,52.1035,38.9753,36.002,14,0,14,25.5105,14,27.0639,52.6754,26.0099,-6.16E-07,78.8676,55.1464,37.5
,0,15,51.9942,39.3025,35.9457,15,0,15,25.5105,15,27.1306,52.6794,26.3027,5.57E-07,78.868,56.318,37.5
,0,16,52.0143,39.7102,36.1483,16,0,16,25.5105,16,27.1474,52.6804,26.5894,7.72E-07,78.8667,57.1979,37.5
,0,17,52.0356,40.2946,36.0463,17,0,17,25.5105,17,27.1122,52.6773,26.8834,-4.86E-07,78.8688,57.7852,37.5
,0,18,51.9302,40.4886,36.1684,18,0,18,25.5105,18,27.0495,52.676,27.4684,-5.59E-07,78.8665,58.9565,37.5
,0,19,51.9706,40.8634,36.2667,19,0,19,25.5105,19,27.1217,52.6769,27.7602,4.53E-07,78.8672,60.1238,37.5
,0,20,51.9268,41.5999,35.5607,20,0,20,25.5105,20,27.2052,52.6756,28.0524,4.38E-07,78.8671,60.7171,37.5
,0,21,51.8891,41.8284,35.8861,21,0,21,25.5105,21,27.2593,52.675,28.344,-7.38E-07,78.8682,61.5976,37.5
,0,22,51.9294,42.0968,36.1084,22,0,22,25.5105,22,27.1778,52.3901,28.6367,4.15E-07,78.8666,62.4412,37.5
,0,23,51.937,42.8971,35.3776,23,0,23,25.5105,23,27.2576,52.6752,28.9263,4.82E-07,78.8686,63.6075,37.5
,0,24,51.9668,43.1502,35.6534,24,0,24,25.5105,24,27.3191,52.6763,29.2181,4.69E-07,78.8672,64.2383,37.5
,0,25,52.1348,43.2293,35.6428,25,0,25,25.5105,25,27.2994,52.3894,29.5118,-1.40E-07,78.8687,64.8238,37.5
,0,26,51.9759,43.7519,35.7398,26,0,26,25.5105,26,27.3449,52.3865,29.8043,7.59E-07,78.8692,65.4096,37.5
,0,27,52.0342,43.9946,35.5841,27,0,27,25.5105,27,27.364,52.382,30.132,-2.87E-07,78.869,66.5841,37.5
,0,28,52.131,44.3877,35.5468,28,0,28,25.5105,28,27.4878,52.3859,30.3883,7.77E-07,78.8682,67.4636,37.5
,0,29,51.9998,44.8876,35.6587,29,0,29,25.5105,29,27.2955,52.3845,30.6799,5.77E-08,78.868,68.0496,37.5
,0,30,52.0147,45.1909,35.6282,30,0,30,25.5105,30,27.304,52.3814,30.9727,7.47E-07,78.8679,68.9312,37.5
,0,31,52.0565,45.5339,35.4476,31,0,31,25.5105,31,27.2996,52.3835,31.2626,3.44E-07,78.8685,70.1038,37.5
,0,32,52.1198,46.0703,35.5286,32,0,32,25.5105,32,27.468,52.3826,31.5559,-1.59E-07,78.8685,70.6914,37.5
,0,33,52.1531,46.35,35.3372,33,0,33,25.5105,33,27.4415,52.3824,31.8475,-4.25E-07,78.8691,71.5718,37.5
,0,34,52.089,46.7493,35.4672,34,0,34,25.5105,34,27.3372,52.3833,32.1399,-2.40E-07,78.87,72.158,37.5
,0,35,52.2722,46.8493,35.4897,35,0,35,25.5105,35,27.5479,52.3827,32.4321,7.37E-07,78.8694,73.0368,37.5
,0,36,52.0219,47.334,34.957,36,0,36,25.5105,36,27.6595,52.3831,32.7236,-9.13E-07,78.8694,73.9162,37.5
,0,37,52.1352,47.6668,34.9622,37,0,37,25.5105,37,27.5503,52.3833,32.7564,5.93E-07,78.8692,74.5037,37.5
,0,38,52.2898,47.7514,35.1263,38,0,38,25.5105,38,27.1449,52.381,33.0138,-8.04E-07,78.8695,75.0911,37.5
,0,39,52.3711,48.4701,35.0751,39,0,39,25.5105,39,27.6297,52.4154,33.3045,9.15E-07,78.8681,76.2658,37.5
,0,40,52.1809,48.785,35.0252,40,0,40,25.5105,40,25.5105,52.3815,33.3023,5.93E-07,78.8691,77.1397,37.5
,0,41,52.1589,49.1754,34.8978,41,0,41,25.5105,41,25.6889,52.3837,33.5959,8.97E-07,78.8698,77.7352,37.5
,0,42,52.0498,48.798,35.0285,42,0,42,25.5105,42,25.8602,52.3836,33.8851,-5.94E-07,78.8688,78.3198,37.5
,0,43,51.9819,49.1449,35.0384,43,0,43,25.5105,43,26.2711,52.383,33.8867,7.96E-07,78.8693,79.4907,37.5
,0,44,51.8952,49.0113,34.8368,44,0,44,25.5105,44,26.5646,52.3835,34.179,3.72E-08,78.869,80.0812,37.5
,0,45,52.0398,49.7957,35.1216,45,0,45,25.5105,45,26.6496,52.3826,34.1766,3.76E-07,78.8698,80.6661,37.5
,0,46,51.9633,49.654,34.802,46,0,46,25.5105,46,26.7787,52.3827,34.4709,-2.10E-08,78.8695,81.5469,37.5
,0,47,51.9893,50.0391,34.4707,47,0,47,25.5105,47,26.9539,52.388,34.7579,4.51E-07,78.8686,82.724,37.5
,0,48,52.0016,50.723,34.5878,48,0,48,25.5105,48,27.0733,52.3823,34.7566,2.07E-07,78.8693,83.3092,37.5
,0,49,51.9534,50.5838,34.2831,49,0,49,25.5105,49,27.0799,52.3826,34.7567,8.01E-07,78.8701,84.1874,37.5
,0,50,52.0116,51.1244,34.2714,50,0,50,25.5105,50,26.978,52.3835,35.0471,3.60E-07,78.8686,85.0687,37.5
,0,51,51.8659,51.6149,34.28,51,0,51,25.5105,51,27.0955,52.382,35.0423,-6.45E-07,78.8699,86.2378,37.5
,0,52,52.2177,51.1311,34.3359,52,0,52,25.5105,52,27.0296,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5
,0,53,52.1076,51.9161,34.3966,53,0,53,25.5105,53,27.061,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5
,0,54,52.1862,51.8626,34.3389,54,0,54,25.5105,54,27.0639,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5
,0,55,52.2788,52.0346,34.0778,55,0,55,25.5105,55,27.1306,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5
,0,56,52.2209,52.4345,34.3592,56,0,56,25.5105,56,27.1474,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5
,0,57,52.0988,51.9855,33.6131,57,0,57,25.5105,57,27.1122,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5
,0,58,52.2206,52.7075,33.8335,58,0,58,25.5105,58,27.0495,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5
,0,59,51.8564,53.011,33.7953,59,0,59,25.5105,59,27.1217,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5
,0,60,52.0412,53.0532,33.3724,60,0,60,25.5105,60,27.2052,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5
,0,61,52.1489,53.4969,33.7451,61,0,61,25.5105,61,27.2593,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5
,0,62,51.6788,52.9622,32.9964,62,0,62,25.5105,62,27.1778,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5
,0,63,51.8958,53.464,32.6929,63,0,63,25.5105,63,27.2576,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5
,0,64,51.7413,54.0243,32.9278,64,0,64,25.5105,64,27.3191,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5
,0,65,51.7423,53.8883,32.6527,65,0,65,25.5105,65,27.2994,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5
,0,66,51.8494,54.2935,32.8079,66,0,66,25.5105,66,27.3449,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5
,0,67,51.636,54.5482,32.6325,67,0,67,25.5105,67,27.364,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5
,0,68,51.8623,54.952,32.4197,68,0,68,25.5105,68,27.4878,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5
,0,69,51.5414,55.206,32.5415,69,0,69,25.5105,69,27.2955,52.6717,34.136,-8.34E-09,79.162,102.393,37.5
,0,70,51.653,55.3048,32.348,70,0,70,25.5105,70,27.304,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5
,0,71,52.0356,54.9706,32.3529,71,0,71,25.5105,71,27.2996,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5
,0,72,51.6868,55.7992,32.3378,72,0,72,25.5105,72,27.468,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5
,0,73,52.1726,55.0356,32.9362,73,0,73,25.5105,73,27.4415,52.3847,33.2432,-2.60E-08,79.1667,106.504,37.5
,0,74,52.0956,55.6921,32.7903,74,0,74,25.5105,74,27.3372,52.669,33.2405,1.54E-07,79.1647,107.68,37.5
,0,75,51.9465,56.0411,32.8315,75,0,75,25.5105,75,27.5479,52.3799,32.6517,1.02E-07,79.1662,109.147,37.5
,0,76,52.3317,58.0591,29.3802,76,0,76,25.5105,76,27.6595,52.669,32.3513,8.60E-08,79.1628,110.608,37.5
,0,77,51.9799,57.5382,31.4,77,0,77,25.5105,77,27.5503,52.6721,32.0599,-5.93E-08,79.1634,111.493,37.5
,0,78,52.1506,56.6574,32.2041,78,0,78,25.5105,78,27.1449,52.6684,31.4713,-2.74E-07,79.4575,112.669,37.5
,0,79,52.9514,61.6494,26.9295,79,0,79,25.5105,79,27.6297,52.6683,29.7066,4.50E-07,79.456,114.426,37.5
,1,0,78.5241,32.4817,37.3495,0,1,0,25.5105,0,25.5105,52.9688,20.158,-7.18E-07,78.867,45.7579,37.5
,1,1,78.5217,32.9963,37.1989,1,1,1,25.5105,1,25.6889,52.9678,20.4522,-7.18E-07,78.8676,46.0553,37.5
,1,2,78.4312,33.6822,36.9612,2,1,2,25.5105,2,25.8602,52.6769,21.0367,-1.52E-07,78.8692,46.641,37.5
,1,3,78.6455,34.1643,36.6017,3,1,3,25.5105,3,26.2711,52.9685,21.6215,7.66E-08,78.8674,47.5182,37.5
,1,4,78.7177,34.6405,36.3972,4,1,4,25.5105,4,26.5646,52.6782,21.9134,6.32E-07,78.8672,48.1055,37.5
,1,5,78.8484,34.9826,36.156,5,1,5,25.5105,5,26.6496,52.6792,22.4987,6.32E-07,78.8669,48.6919,37.5
,1,6,78.9008,35.6789,36.3288,6,1,6,25.5105,6,26.7787,52.6771,22.7939,-2.39E-07,78.8668,49.28,37.5
,1,7,78.9735,36.1908,36.2693,7,1,7,25.5105,7,26.9539,52.6748,23.3781,-1.27E-07,78.868,50.451,37.5
,1,8,79.1783,36.5919,36.1519,8,1,8,25.5105,8,27.0733,52.6799,23.6741,-7.19E-07,78.8666,51.0389,37.5
,1,9,79.0777,36.8949,36.0648,9,1,9,25.5105,9,27.0799,52.6798,23.9646,5.65E-09,78.8684,51.6251,37.5
,1,10,79.0412,37.5164,35.8342,10,1,10,25.5105,10,26.978,52.6792,24.5422,3.52E-07,78.8676,52.2108,37.5
,1,11,79.1515,37.421,35.99,11,1,11,25.5105,11,27.0955,52.6839,25.128,-6.50E-07,78.8696,53.0912,37.5
,1,12,79.0581,38.1222,35.9459,12,1,12,25.5105,12,27.0296,52.6736,25.423,1.08E-08,78.8668,53.975,37.5
,1,13,79.0904,38.173,36.2745,13,1,13,25.5105,13,27.061,52.6815,25.719,6.02E-07,78.8679,54.5581,37.5
,1,14,79.0556,38.8881,36.3008,14,1,14,25.5105,14,27.0639,52.6754,26.0099,-6.16E-07,78.8676,55.1464,37.5
,1,15,78.9826,39.0898,36.3483,15,1,15,25.5105,15,27.1306,52.6794,26.3027,5.57E-07,78.868,56.318,37.5
,1,16,79.0806,39.2948,36.6009,16,1,16,25.5105,16,27.1474,52.6804,26.5894,7.72E-07,78.8667,57.1979,37.5
,1,17,79.09,39.5622,36.4534,17,1,17,25.5105,17,27.1122,52.6773,26.8834,-4.86E-07,78.8688,57.7852,37.5
,1,18,79.0056,40.1337,36.517,18,1,18,25.5105,18,27.0495,52.676,27.4684,-5.59E-07,78.8665,58.9565,37.5
,1,19,79.0931,40.6578,36.6266,19,1,19,25.5105,19,27.1217,52.6769,27.7602,4.53E-07,78.8672,60.1238,37.5
,1,20,78.8945,41.4299,36.2871,20,1,20,25.5105,20,27.2052,52.6756,28.0524,4.38E-07,78.8671,60.7171,37.5
,1,21,78.9224,41.1957,36.3675,21,1,21,25.5105,21,27.2593,52.675,28.344,-7.38E-07,78.8682,61.5976,37.5
,1,22,79.0196,41.6588,36.4115,22,1,22,25.5105,22,27.1778,52.3901,28.6367,4.15E-07,78.8666,62.4412,37.5
,1,23,78.8827,42.7792,35.8679,23,1,23,25.5105,23,27.2576,52.6752,28.9263,4.82E-07,78.8686,63.6075,37.5
,1,24,78.983,42.3768,36.0105,24,1,24,25.5105,24,27.3191,52.6763,29.2181,4.69E-07,78.8672,64.2383,37.5
,1,25,79.1819,42.7938,35.7687,25,1,25,25.5105,25,27.2994,52.3894,29.5118,-1.40E-07,78.8687,64.8238,37.5
,1,26,79.0272,43.0306,35.7785,26,1,26,25.5105,26,27.3449,52.3865,29.8043,7.59E-07,78.8692,65.4096,37.5
,1,27,79.0975,43.7357,35.7075,27,1,27,25.5105,27,27.364,52.382,30.132,-2.87E-07,78.869,66.5841,37.5
,1,28,79.1878,43.7668,35.577,28,1,28,25.5105,28,27.4878,52.3859,30.3883,7.77E-07,78.8682,67.4636,37.5
,1,29,79.1105,44.0621,35.6889,29,1,29,25.5105,29,27.2955,52.3845,30.6799,5.77E-08,78.868,68.0496,37.5
,1,30,79.1412,44.7223,35.6403,30,1,30,25.5105,30,27.304,52.3814,30.9727,7.47E-07,78.8679,68.9312,37.5
,1,31,79.1192,45.0511,35.4006,31,1,31,25.5105,31,27.2996,52.3835,31.2626,3.44E-07,78.8685,70.1038,37.5
,1,32,79.2593,45.4212,35.4394,32,1,32,25.5105,32,27.468,52.3826,31.5559,-1.59E-07,78.8685,70.6914,37.5
,1,33,79.2174,45.6264,35.2163,33,1,33,25.5105,33,27.4415,52.3824,31.8475,-4.25E-07,78.8691,71.5718,37.5
,1,34,79.1852,45.8633,35.1727,34,1,34,25.5105,34,27.3372,52.3833,32.1399,-2.40E-07,78.87,72.158,37.5
,1,35,79.4116,46.516,35.0462,35,1,35,25.5105,35,27.5479,52.3827,32.4321,7.37E-07,78.8694,73.0368,37.5
,1,36,79.0638,46.7095,35.1155,36,1,36,25.5105,36,27.6595,52.3831,32.7236,-9.13E-07,78.8694,73.9162,37.5
,1,37,79.246,47.2177,34.887,37,1,37,25.5105,37,27.5503,52.3833,32.7564,5.93E-07,78.8692,74.5037,37.5
,1,38,79.4082,47.6754,34.709,38,1,38,25.5105,38,27.1449,52.381,33.0138,-8.04E-07,78.8695,75.0911,37.5
,1,39,79.4285,47.7454,34.2285,39,1,39,25.5105,39,27.6297,52.4154,33.3045,9.15E-07,78.8681,76.2658,37.5
,1,40,79.3694,47.9058,34.6528,40,1,40,25.5105,40,25.5105,52.3815,33.3023,5.93E-07,78.8691,77.1397,37.5
,1,41,79.2814,47.8214,34.3575,41,1,41,25.5105,41,25.6889,52.3837,33.5959,8.97E-07,78.8698,77.7352,37.5
,1,42,79.3076,48.5465,34.8847,42,1,42,25.5105,42,25.8602,52.3836,33.8851,-5.94E-07,78.8688,78.3198,37.5
,1,43,79.2184,48.3506,34.9068,43,1,43,25.5105,43,26.2711,52.383,33.8867,7.96E-07,78.8693,79.4907,37.5
,1,44,79.0629,48.2692,34.9122,44,1,44,25.5105,44,26.5646,52.3835,34.179,3.72E-08,78.869,80.0812,37.5
,1,45,79.3581,48.9891,34.8418,45,1,45,25.5105,45,26.6496,52.3826,34.1766,3.76E-07,78.8698,80.6661,37.5
,1,46,79.2171,49.2008,34.7194,46,1,46,25.5105,46,26.7787,52.3827,34.4709,-2.10E-08,78.8695,81.5469,37.5
,1,47,79.1738,49.5609,34.2885,47,1,47,25.5105,47,26.9539,52.388,34.7579,4.51E-07,78.8686,82.724,37.5
,1,48,79.3036,49.7989,34.2988,48,1,48,25.5105,48,27.0733,52.3823,34.7566,2.07E-07,78.8693,83.3092,37.5
,1,49,79.2308,49.9511,34.216,49,1,49,25.5105,49,27.0799,52.3826,34.7567,8.01E-07,78.8701,84.1874,37.5
,1,50,79.3059,50.6786,33.9952,50,1,50,25.5105,50,26.978,52.3835,35.0471,3.60E-07,78.8686,85.0687,37.5
,1,51,79.2494,50.9586,34.1973,51,1,51,25.5105,51,27.0955,52.382,35.0423,-6.45E-07,78.8699,86.2378,37.5
,1,52,79.5607,51.2063,34.0175,52,1,52,25.5105,52,27.0296,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5
,1,53,79.5328,51.3849,33.7768,53,1,53,25.5105,53,27.061,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5
,1,54,79.5467,51.8851,33.8992,54,1,54,25.5105,54,27.0639,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5
,1,55,79.5578,52.0088,33.3962,55,1,55,25.5105,55,27.1306,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5
,1,56,79.7047,52.5561,33.9068,56,1,56,25.5105,56,27.1474,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5
,1,57,79.3119,51.8559,33.4446,57,1,57,25.5105,57,27.1122,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5
,1,58,79.5074,52.5365,33.1646,58,1,58,25.5105,58,27.0495,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5
,1,59,79.2096,52.3375,33.5239,59,1,59,25.5105,59,27.1217,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5
,1,60,79.3395,52.5855,33.0714,60,1,60,25.5105,60,27.2052,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5
,1,61,79.6388,53.3613,33.232,61,1,61,25.5105,61,27.2593,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5
,1,62,78.9704,52.9693,33.6559,62,1,62,25.5105,62,27.1778,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5
,1,63,79.1927,53.5141,32.8786,63,1,63,25.5105,63,27.2576,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5
,1,64,79.2068,53.7101,33.1279,64,1,64,25.5105,64,27.3191,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5
,1,65,79.0554,53.6477,33.114,65,1,65,25.5105,65,27.2994,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5
,1,66,79.2905,54.1369,32.7699,66,1,66,25.5105,66,27.3449,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5
,1,67,79.0829,54.3691,33.1191,67,1,67,25.5105,67,27.364,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5
,1,68,79.1974,54.6248,32.5134,68,1,68,25.5105,68,27.4878,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5
,1,69,79.0855,54.6963,32.8538,69,1,69,25.5105,69,27.2955,52.6717,34.136,-8.34E-09,79.162,102.393,37.5
,1,70,79.1944,55.333,32.9458,70,1,70,25.5105,70,27.304,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5
,1,71,79.5174,55.7405,32.8737,71,1,71,25.5105,71,27.2996,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5
,1,72,79.3392,55.9438,32.9511,72,1,72,25.5105,72,27.468,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5
,1,73,79.6068,55.6618,33.0019,73,1,73,25.5105,73,27.4415,52.3847,33.2432,-2.60E-08,79.1667,106.504,37.5
,1,74,79.6384,56.3333,32.7127,74,1,74,25.5105,74,27.3372,52.669,33.2405,1.54E-07,79.1647,107.68,37.5
,1,75,79.5921,56.3389,32.8017,75,1,75,25.5105,75,27.5479,52.3799,32.6517,1.02E-07,79.1662,109.147,37.5
,1,76,79.4369,59.276,30.2031,76,1,76,25.5105,76,27.6595,52.669,32.3513,8.60E-08,79.1628,110.608,37.5
,1,77,79.5796,57.9243,31.5453,77,1,77,25.5105,77,27.5503,52.6721,32.0599,-5.93E-08,79.1634,111.493,37.5
,1,78,79.7631,57.5837,32.5033,78,1,78,25.5105,78,27.1449,52.6684,31.4713,-2.74E-07,79.4575,112.669,37.5
,1,79,79.6695,63.2271,27.0499,79,1,79,25.5105,79,27.6297,52.6683,29.7066,4.50E-07,79.456,114.426,37.5
