4D-CT Data Output File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,,,,,,,,,,,
96.9798,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,,,,,,,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax,,Xmax - Xmin,,,,mean,diff,,,
,0,0,53.0226,32.5238,37.4811,0,0,0,25.3958,0,25.3958,,52.9688,20.158,-7.18E-07,78.867,45.7579,37.5,,25.8982,25,,25.4491,0.8982,,0,25
,0,1,52.8742,32.977,37.277,1,0,1,25.3958,1,25.6723,,52.9678,20.4522,-7.18E-07,78.8676,46.0553,37.5,,25.8998,25,,25.4499,0.8998,,79,25
,0,2,52.7319,33.5247,36.9013,2,0,2,25.3958,2,25.741,,52.6769,21.0367,-1.52E-07,78.8692,46.641,37.5,,26.1923,25,,25.59615,1.1923,,,
,0,3,52.8466,34.1847,36.9749,3,0,3,25.3958,3,26.1042,,52.9685,21.6215,7.66E-08,78.8674,47.5182,37.5,,25.8989,25,,25.44945,0.8989,,,
,0,4,52.8454,34.4211,37.0123,4,0,4,25.3958,4,26.2388,,52.6782,21.9134,6.32E-07,78.8672,48.1055,37.5,,26.189,25,,25.5945,1.189,,,
,0,5,52.7718,34.9821,36.8758,5,0,5,25.3958,5,26.4118,,52.6792,22.4987,6.32E-07,78.8669,48.6919,37.5,,26.1877,25,,25.59385,1.1877,,,
,0,6,52.5898,35.4309,36.8846,6,0,6,25.3958,6,26.4202,,52.6771,22.7939,-2.39E-07,78.8668,49.28,37.5,,26.1897,25,,25.59485,1.1897,,,
,0,7,52.4955,35.6026,36.4451,7,0,7,25.3958,7,26.4327,,52.6748,23.3781,-1.27E-07,78.868,50.451,37.5,,26.1932,25,,25.5966,1.1932,,,
,0,8,52.6205,36.2948,36.3365,8,0,8,25.3958,8,26.5991,,52.6799,23.6741,-7.19E-07,78.8666,51.0389,37.5,,26.1867,25,,25.59335,1.1867,,,
,0,9,52.6224,36.999,36.4488,9,0,9,25.3958,9,26.6483,,52.6798,23.9646,5.65E-09,78.8684,51.6251,37.5,,26.1886,25,,25.5943,1.1886,,,
,0,10,52.3969,37.096,36.4467,10,0,10,25.3958,10,26.5928,,52.6792,24.5422,3.52E-07,78.8676,52.2108,37.5,,26.1884,25,,25.5942,1.1884,,,
,0,11,52.3344,38.0784,36.0916,11,0,11,25.3958,11,26.6593,,52.6839,25.128,-6.50E-07,78.8696,53.0912,37.5,,26.1857,25,,25.59285,1.1857,,,
,0,12,52.3432,37.8894,35.9886,12,0,12,25.3958,12,26.7295,,52.6736,25.423,1.08E-08,78.8668,53.975,37.5,,26.1932,25,,25.5966,1.1932,,,
,0,13,52.1791,38.5053,36.2675,13,0,13,25.3958,13,26.7481,,52.6815,25.719,6.02E-07,78.8679,54.5581,37.5,,26.1864,25,,25.5932,1.1864,,,
,0,14,52.3104,38.573,36.6262,14,0,14,25.3958,14,26.7633,,52.6754,26.0099,-6.16E-07,78.8676,55.1464,37.5,,26.1922,25,,25.5961,1.1922,,,
,0,15,52.1943,38.9655,36.5421,15,0,15,25.3958,15,26.961,,52.6794,26.3027,5.57E-07,78.868,56.318,37.5,,26.1886,25,,25.5943,1.1886,,,
,0,16,52.2278,39.133,36.8577,16,0,16,25.3958,16,26.9768,,52.6804,26.5894,7.72E-07,78.8667,57.1979,37.5,,26.1863,25,,25.59315,1.1863,,,
,0,17,52.2203,39.7291,36.7458,17,0,17,25.3958,17,26.8063,,52.6773,26.8834,-4.86E-07,78.8688,57.7852,37.5,,26.1915,25,,25.59575,1.1915,,,
,0,18,52.1644,39.9192,36.8601,18,0,18,25.3958,18,27.0028,,52.676,27.4684,-5.59E-07,78.8665,58.9565,37.5,,26.1905,25,,25.59525,1.1905,,,
,0,19,52.179,40.452,37.0294,19,0,19,25.3958,19,27.0179,,52.6769,27.7602,4.53E-07,78.8672,60.1238,37.5,,26.1903,25,,25.59515,1.1903,,,
,0,20,52.2488,40.8702,36.684,20,0,20,25.3958,20,27.0917,,52.6756,28.0524,4.38E-07,78.8671,60.7171,37.5,,26.1915,25,,25.59575,1.1915,,,
,0,21,52.1978,41.0437,36.5629,21,0,21,25.3958,21,26.9131,,52.675,28.344,-7.38E-07,78.8682,61.5976,37.5,,26.1932,25,,25.5966,1.1932,,,
,0,22,52.1483,41.5241,36.968,22,0,22,25.3958,22,27.0509,,52.3901,28.6367,4.15E-07,78.8666,62.4412,37.5,,26.4765,25,,25.73825,1.4765,,,
,0,23,52.1276,42.1025,36.4701,23,0,23,25.3958,23,27.1167,,52.6752,28.9263,4.82E-07,78.8686,63.6075,37.5,,26.1934,25,,25.5967,1.1934,,,
,0,24,52.155,42.453,36.5311,24,0,24,25.3958,24,27.1175,,52.6763,29.2181,4.69E-07,78.8672,64.2383,37.5,,26.1909,25,,25.59545,1.1909,,,
,0,25,52.0355,42.8249,36.17,25,0,25,25.3958,25,27.0217,,52.3894,29.5118,-1.40E-07,78.8687,64.8238,37.5,,26.4793,25,,25.73965,1.4793,,,
,0,26,52.1171,42.8685,36.7014,26,0,26,25.3958,26,27.1524,,52.3865,29.8043,7.59E-07,78.8692,65.4096,37.5,,26.4827,25,,25.74135,1.4827,,,
,0,27,51.9369,43.5497,36.1064,27,0,27,25.3958,27,27.2999,,52.382,30.132,-2.87E-07,78.869,66.5841,37.5,,26.487,25,,25.7435,1.487,,,
,0,28,52.1278,43.5846,36.608,28,0,28,25.3958,28,27.2483,,52.3859,30.3883,7.77E-07,78.8682,67.4636,37.5,,26.4823,25,,25.74115,1.4823,,,
,0,29,52.1574,43.9671,36.6891,29,0,29,25.3958,29,27.1731,,52.3845,30.6799,5.77E-08,78.868,68.0496,37.5,,26.4835,25,,25.74175,1.4835,,,
,0,30,51.9039,44.7387,36.385,30,0,30,25.3958,30,27.1937,,52.3814,30.9727,7.47E-07,78.8679,68.9312,37.5,,26.4865,25,,25.74325,1.4865,,,
,0,31,52.1297,44.5991,36.7424,31,0,31,25.3958,31,27.3467,,52.3835,31.2626,3.44E-07,78.8685,70.1038,37.5,,26.485,25,,25.7425,1.485,,,
,0,32,51.9577,45.1274,36.2047,32,0,32,25.3958,32,27.3904,,52.3826,31.5559,-1.59E-07,78.8685,70.6914,37.5,,26.4859,25,,25.74295,1.4859,,,
,0,33,52.043,45.4967,36.315,33,0,33,25.3958,33,27.1099,,52.3824,31.8475,-4.25E-07,78.8691,71.5718,37.5,,26.4867,25,,25.74335,1.4867,,,
,0,34,52.1238,45.9403,36.537,34,0,34,25.3958,34,27.0067,,52.3833,32.1399,-2.40E-07,78.87,72.158,37.5,,26.4867,25,,25.74335,1.4867,,,
,0,35,52.0191,46.0696,36.3069,35,0,35,25.3958,35,27.1936,,52.3827,32.4321,7.37E-07,78.8694,73.0368,37.5,,26.4867,25,,25.74335,1.4867,,,
,0,36,52.0233,46.1507,36.2148,36,0,36,25.3958,36,27.3636,,52.3831,32.7236,-9.13E-07,78.8694,73.9162,37.5,,26.4863,25,,25.74315,1.4863,,,
,0,37,52.0008,46.6035,36.3126,37,0,37,25.3958,37,28.2842,,52.3833,32.7564,5.93E-07,78.8692,74.5037,37.5,,26.4859,25,,25.74295,1.4859,,,
,0,38,51.9622,46.735,36.395,38,0,38,25.3958,38,28.1542,,52.381,33.0138,-8.04E-07,78.8695,75.0911,37.5,,26.4885,25,,25.74425,1.4885,,,
,0,39,52.0851,47.0808,36.5058,39,0,39,25.3958,39,28.3509,,52.4154,33.3045,9.15E-07,78.8681,76.2658,37.5,,26.4527,25,,25.72635,1.4527,,,
,0,40,51.9751,47.3563,36.4183,40,0,40,25.3958,40,25.3958,,52.3815,33.3023,5.93E-07,78.8691,77.1397,37.5,,26.4876,25,,25.7438,1.4876,,,
,0,41,52.0469,47.6599,36.5234,41,0,41,25.3958,41,25.6723,,52.3837,33.5959,8.97E-07,78.8698,77.7352,37.5,,26.4861,25,,25.74305,1.4861,,,
,0,42,52.1978,47.995,36.7967,42,0,42,25.3958,42,25.741,,52.3836,33.8851,-5.94E-07,78.8688,78.3198,37.5,,26.4852,25,,25.7426,1.4852,,,
,0,43,52.0532,48.1409,36.7137,43,0,43,25.3958,43,26.1042,,52.383,33.8867,7.96E-07,78.8693,79.4907,37.5,,26.4863,25,,25.74315,1.4863,,,
,0,44,52.1065,48.0475,36.6989,44,0,44,25.3958,44,26.2388,,52.3835,34.179,3.72E-08,78.869,80.0812,37.5,,26.4855,25,,25.74275,1.4855,,,
,0,45,52.0995,48.5607,36.8626,45,0,45,25.3958,45,26.4118,,52.3826,34.1766,3.76E-07,78.8698,80.6661,37.5,,26.4872,25,,25.7436,1.4872,,,
,0,46,52.0595,48.694,36.8262,46,0,46,25.3958,46,26.4202,,52.3827,34.4709,-2.10E-08,78.8695,81.5469,37.5,,26.4868,25,,25.7434,1.4868,,,
,0,47,52.2224,48.8439,37.0329,47,0,47,25.3958,47,26.4327,,52.388,34.7579,4.51E-07,78.8686,82.724,37.5,,26.4806,25,,25.7403,1.4806,,,
,0,48,52.1084,49.4896,36.7942,48,0,48,25.3958,48,26.5991,,52.3823,34.7566,2.07E-07,78.8693,83.3092,37.5,,26.487,25,,25.7435,1.487,,,
,0,49,52.2508,49.4433,37.3035,49,0,49,25.3958,49,26.6483,,52.3826,34.7567,8.01E-07,78.8701,84.1874,37.5,,26.4875,25,,25.74375,1.4875,,,
,0,50,52.2593,49.7255,37.2248,50,0,50,25.3958,50,26.5928,,52.3835,35.0471,3.60E-07,78.8686,85.0687,37.5,,26.4851,25,,25.74255,1.4851,,,
,0,51,52.2493,49.8888,37.1872,51,0,51,25.3958,51,26.6593,,52.382,35.0423,-6.45E-07,78.8699,86.2378,37.5,,26.4879,25,,25.74395,1.4879,,,
,0,52,52.206,50.0689,37.1716,52,0,52,25.3958,52,26.7295,,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5,,26.4564,25,,25.7282,1.4564,,,
,0,53,52.1457,50.1901,37.2672,53,0,53,25.3958,53,26.7481,,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5,,26.4865,25,,25.74325,1.4865,,,
,0,54,52.1559,50.1204,37.3928,54,0,54,25.3958,54,26.7633,,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5,,26.7774,25,,25.8887,1.7774,,,
,0,55,52.2003,50.9531,36.4188,55,0,55,25.3958,55,26.961,,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5,,26.1949,25,,25.59745,1.1949,,,
,0,56,52.1629,50.702,37.4039,56,0,56,25.3958,56,26.9768,,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5,,26.4872,25,,25.7436,1.4872,,,
,0,57,52.2666,51.2351,36.4721,57,0,57,25.3958,57,26.8063,,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5,,26.7801,25,,25.89005,1.7801,,,
,0,58,52.3546,51.2796,36.6451,58,0,58,25.3958,58,27.0028,,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5,,26.1982,25,,25.5991,1.1982,,,
,0,59,52.2015,51.3524,37.1471,59,0,59,25.3958,59,27.0179,,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5,,26.7841,25,,25.89205,1.7841,,,
,0,60,52.3707,51.8217,36.7248,60,0,60,25.3958,60,27.0917,,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5,,26.4858,25,,25.7429,1.4858,,,
,0,61,52.3106,51.1965,37.7424,61,0,61,25.3958,61,26.9131,,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5,,26.2023,25,,25.60115,1.2023,,,
,0,62,52.3458,51.7808,36.7799,62,0,62,25.3958,62,27.0509,,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5,,26.7798,25,,25.8899,1.7798,,,
,0,63,52.506,52.165,36.6991,63,0,63,25.3958,63,27.1167,,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5,,26.2004,25,,25.6002,1.2004,,,
,0,64,52.3137,52.1515,37.1085,64,0,64,25.3958,64,27.1175,,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5,,26.78,25,,25.89,1.78,,,
,0,65,52.5561,53.3317,35.9405,65,0,65,25.3958,65,27.0217,,52.3824,34.7277,1.74E-07,79.1657,98.2848,37.5,,26.7833,25,,25.89165,1.7833,,,
,0,66,52.5154,53.2346,36.038,66,0,66,25.3958,66,27.1524,,52.6694,34.724,-1.27E-07,79.1586,99.1591,37.5,,26.4892,25,,25.7446,1.4892,,,
,0,67,52.4527,52.3657,36.6997,67,0,67,25.3958,67,27.2999,,52.3821,34.4309,-1.48E-08,79.1663,100.335,37.5,,26.7842,25,,25.8921,1.7842,,,
,0,68,53.0415,53.8063,35.9747,68,0,68,25.3958,68,27.2483,,52.6714,34.4294,-2.87E-07,79.1621,101.513,37.5,,26.4907,25,,25.74535,1.4907,,,
,0,69,52.5271,53.4333,35.9735,69,0,69,25.3958,69,27.1731,,52.6717,34.136,-8.34E-09,79.162,102.393,37.5,,26.4903,25,,25.74515,1.4903,,,
,0,70,52.9354,53.8768,35.8085,70,0,70,25.3958,70,27.1937,,52.3828,33.8359,5.80E-07,79.1655,103.271,37.5,,26.7827,25,,25.89135,1.7827,,,
,0,71,53.0016,53.9615,35.8848,71,0,71,25.3958,71,27.3467,,52.6695,33.8299,2.71E-07,79.1624,104.753,37.5,,26.4929,25,,25.74645,1.4929,,,
,0,72,52.9324,54.7157,35.6831,72,0,72,25.3958,72,27.3904,,52.3843,33.5394,5.53E-08,79.1633,105.62,37.5,,26.779,25,,25.8895,1.779,,,
